batteries 
V(X=-1084.75, Y=1209.62, Z=631.48)
V(X=1383.88, Y=209.59, Z=624.81)
V(X=1406.32, Y=-883.97, Z=622.32)
V(X=-1384.91, Y=-1299.82, Z=575.93)
V(X=-87.02, Y=-1505.14, Z=578.74)
V(X=-1722.48, Y=-1490.81, Z=624.74)
V(X=-23.93, Y=1139.74, Z=597.43)
V(X=561.22, Y=24.39, Z=594.62)
V(X=277.43, Y=-1426.13, Z=570.83)
V(X=511.14, Y=-744.79, Z=579.97)
V(X=-341.33, Y=11.63, Z=629.24)
V(X=600.14, Y=63.84, Z=581.06)
V(X=-1146.86, Y=809.28, Z=603.01)
V(X=1589.31, Y=688.75, Z=587.28)
V(X=-280.95, Y=-1126.00, Z=588.64)
V(X=-942.09, Y=-1443.90, Z=598.52)
V(X=-744.80, Y=-1524.97, Z=604.39)
V(X=62.03, Y=173.18, Z=624.11)
V(X=-249.51, Y=108.21, Z=597.75)
V(X=565.34, Y=1218.06, Z=608.12)
V(X=727.62, Y=443.97, Z=618.75)
V(X=1.87, Y=1420.44, Z=593.94)
V(X=482.85, Y=-939.03, Z=599.50)
V(X=-988.49, Y=567.44, Z=604.01)
V(X=536.83, Y=-221.08, Z=626.27)
V(X=-612.55, Y=-362.21, Z=624.87)
V(X=1738.79, Y=1143.27, Z=582.90)
V(X=78.73, Y=1149.36, Z=624.76)
V(X=1227.13, Y=-182.60, Z=623.81)
V(X=-1302.42, Y=-830.57, Z=619.17)
V(X=979.76, Y=-913.21, Z=581.91)
V(X=881.88, Y=-181.92, Z=614.74)
V(X=-1346.32, Y=-39.01, Z=609.82)
V(X=-145.66, Y=816.64, Z=580.15)
V(X=1211.20, Y=-95.15, Z=621.91)
V(X=750.60, Y=573.62, Z=589.80)
V(X=-479.98, Y=-639.28, Z=599.92)
V(X=-599.00, Y=546.83, Z=586.01)
V(X=-280.95, Y=-251.11, Z=627.84)
V(X=1751.04, Y=333.65, Z=568.91)
V(X=1709.52, Y=1110.78, Z=575.09)
V(X=-663.17, Y=1097.73, Z=592.88)
V(X=-1625.24, Y=-574.90, Z=595.93)
V(X=-1608.33, Y=-589.13, Z=598.03)
V(X=348.11, Y=1172.91, Z=616.42)
V(X=419.87, Y=1000.56, Z=600.93)
V(X=-121.71, Y=569.99, Z=595.05)
V(X=359.38, Y=-1195.00, Z=584.06)
V(X=-935.70, Y=-683.74, Z=616.61)
V(X=1360.25, Y=1121.38, Z=597.71)
V(X=-1292.34, Y=1279.50, Z=579.74)
V(X=-1071.74, Y=-513.46, Z=584.92)
V(X=580.95, Y=214.80, Z=589.97)
V(X=683.83, Y=-323.05, Z=620.49)
V(X=-1367.57, Y=-1269.98, Z=604.81)
V(X=-965.62, Y=1158.68, Z=569.79)
V(X=-1270.87, Y=178.97, Z=587.14)
V(X=-175.48, Y=-257.00, Z=607.82)
V(X=1623.34, Y=1503.28, Z=591.57)
V(X=-759.44, Y=-406.09, Z=615.40)
V(X=-696.67, Y=-1583.46, Z=596.36)
V(X=673.09, Y=212.34, Z=574.15)
V(X=16.29, Y=1265.07, Z=619.72)
V(X=-1040.30, Y=-671.87, Z=616.53)
V(X=-510.22, Y=-645.66, Z=589.42)
V(X=-308.16, Y=653.22, Z=585.65)
V(X=-1541.55, Y=-224.22, Z=574.80)
V(X=413.04, Y=-1000.56, Z=604.58)
V(X=-533.42, Y=-108.31, Z=582.21)
V(X=240.57, Y=670.59, Z=623.03)
V(X=1590.82, Y=-925.48, Z=573.38)
V(X=-561.28, Y=1492.48, Z=624.28)
V(X=772.61, Y=-1129.43, Z=611.91)
V(X=-953.80, Y=-1503.57, Z=577.63)
V(X=1097.92, Y=-643.31, Z=611.72)
V(X=117.75, Y=-258.28, Z=622.52)
V(X=1103.56, Y=120.28, Z=628.76)
V(X=429.51, Y=1570.02, Z=594.58)
V(X=1089.03, Y=-779.63, Z=604.19)
V(X=1156.35, Y=3.78, Z=579.34)
V(X=521.33, Y=1337.31, Z=588.55)
V(X=13.47, Y=-840.19, Z=600.98)
V(X=-1774.73, Y=993.89, Z=601.27)
V(X=-351.84, Y=1291.97, Z=630.97)
V(X=315.37, Y=1263.11, Z=615.60)
V(X=-1369.09, Y=-158.66, Z=577.41)
V(X=1730.34, Y=-261.51, Z=625.12)
V(X=-773.31, Y=-786.51, Z=583.10)
V(X=-1153.37, Y=1340.16, Z=626.50)
V(X=-1187.84, Y=262.59, Z=602.40)
V(X=-954.88, Y=447.99, Z=616.85)
V(X=742.58, Y=441.52, Z=612.15)
V(X=1135.21, Y=-1067.11, Z=628.40)
V(X=-1606.81, Y=875.03, Z=628.04)
V(X=-1557.81, Y=229.32, Z=573.38)
V(X=1550.50, Y=283.89, Z=568.78)
V(X=342.90, Y=-250.33, Z=569.91)
V(X=1114.07, Y=-614.65, Z=616.84)
V(X=1077.11, Y=-715.94, Z=599.97)
V(X=-701.98, Y=-369.67, Z=577.44)
V(X=1194.83, Y=1528.60, Z=574.70)
V(X=-1636.08, Y=418.55, Z=613.57)
V(X=-1728.87, Y=-14.28, Z=572.26)
V(X=1438.95, Y=874.54, Z=602.14)
V(X=865.40, Y=-864.24, Z=627.65)
V(X=-1225.13, Y=1092.53, Z=614.29)
V(X=-754.88, Y=-15.36, Z=606.09)
V(X=841.33, Y=1206.28, Z=584.19)
V(X=924.37, Y=-1485.71, Z=607.65)
V(X=-564.64, Y=643.90, Z=574.52)
V(X=388.00, Y=-260.34, Z=620.82)
V(X=411.09, Y=53.74, Z=614.28)
V(X=1391.36, Y=-415.51, Z=569.06)
V(X=290.87, Y=236.00, Z=610.48)
V(X=737.70, Y=1464.90, Z=578.33)
V(X=923.83, Y=477.93, Z=568.44)
V(X=762.63, Y=-146.19, Z=629.73)
V(X=1678.30, Y=-719.08, Z=583.53)
V(X=-373.96, Y=593.84, Z=579.65)
V(X=-534.07, Y=-1211.19, Z=590.37)
V(X=-762.90, Y=1349.09, Z=623.71)
V(X=1313.42, Y=-569.30, Z=593.65)
V(X=-536.89, Y=1421.81, Z=609.20)
V(X=1479.39, Y=73.17, Z=569.67)
V(X=588.87, Y=-1338.49, Z=604.53)
V(X=1718.95, Y=57.37, Z=612.12)
V(X=-656.02, Y=140.30, Z=580.65)
V(X=1455.43, Y=-770.02, Z=574.39)
V(X=-744.26, Y=1469.71, Z=629.16)
V(X=-1766.49, Y=-405.89, Z=587.28)
V(X=-1097.54, Y=-914.78, Z=602.41)
V(X=-788.38, Y=580.89, Z=579.56)
V(X=1373.80, Y=-1423.48, Z=588.51)
V(X=1217.70, Y=-580.69, Z=597.45)
V(X=1643.51, Y=-1371.86, Z=580.75)
V(X=-307.62, Y=-427.97, Z=617.91)
V(X=-1162.69, Y=445.05, Z=626.67)
V(X=-1342.85, Y=-1071.03, Z=592.90)
V(X=1661.28, Y=1587.59, Z=614.55)
V(X=-711.41, Y=-366.92, Z=590.73)
V(X=-1605.62, Y=-269.56, Z=610.69)
V(X=1581.83, Y=991.34, Z=581.06)
V(X=-193.14, Y=-897.41, Z=595.66)
V(X=-1027.73, Y=574.70, Z=608.80)
V(X=-5.50, Y=-342.98, Z=601.00)
V(X=356.45, Y=348.08, Z=604.75)
V(X=1241.88, Y=-1425.74, Z=596.89)
V(X=1064.97, Y=-569.60, Z=589.50)
V(X=1533.37, Y=1196.57, Z=592.48)
V(X=-876.40, Y=-114.29, Z=599.62)
V(X=1372.28, Y=1512.01, Z=589.64)
V(X=1516.89, Y=1228.17, Z=620.01)
V(X=-1196.29, Y=-803.39, Z=580.13)
V(X=-917.92, Y=-1603.88, Z=568.62)
V(X=899.22, Y=1537.63, Z=625.12)
V(X=-1543.61, Y=196.74, Z=620.64)
V(X=966.00, Y=626.13, Z=627.38)
V(X=-1578.19, Y=1182.04, Z=583.69)
V(X=146.91, Y=434.94, Z=597.25)
V(X=467.02, Y=-354.66, Z=626.31)
V(X=-1621.88, Y=-690.62, Z=583.02)
V(X=370.11, Y=342.68, Z=604.52)
V(X=-802.58, Y=-64.53, Z=593.09)
V(X=-1480.52, Y=-1139.54, Z=604.10)
V(X=-996.40, Y=717.51, Z=596.74)
V(X=1263.23, Y=-1391.88, Z=584.45)
V(X=169.57, Y=-711.91, Z=629.05)
V(X=-1316.30, Y=-820.37, Z=613.03)
V(X=-803.12, Y=-974.16, Z=607.33)
V(X=-173.52, Y=1044.14, Z=597.50)
V(X=-902.42, Y=1328.77, Z=586.56)
V(X=1400.79, Y=-606.99, Z=607.80)
V(X=1532.61, Y=8.49, Z=593.50)
V(X=-419.92, Y=256.31, Z=624.48)
V(X=-731.36, Y=-791.61, Z=617.44)
V(X=-423.72, Y=472.92, Z=628.83)
V(X=-1241.82, Y=-1589.94, Z=593.24)
V(X=-626.43, Y=-1591.51, Z=628.34)
V(X=1506.05, Y=1168.50, Z=592.95)
V(X=-1507.62, Y=-569.89, Z=616.32)
V(X=1017.05, Y=149.23, Z=617.97)
V(X=800.36, Y=-1580.03, Z=620.49)
V(X=-295.48, Y=1201.37, Z=594.33)
V(X=-1624.81, Y=-1270.67, Z=590.45)
V(X=556.34, Y=1210.70, Z=619.13)
V(X=-920.95, Y=1222.08, Z=580.35)
V(X=1042.42, Y=1225.03, Z=571.10)
V(X=-553.47, Y=1414.55, Z=627.73)
V(X=794.72, Y=714.76, Z=569.55)
V(X=360.90, Y=-670.20, Z=570.04)
V(X=-280.95, Y=-957.18, Z=588.90)
V(X=-1287.14, Y=-920.48, Z=607.43)
V(X=414.77, Y=-1383.24, Z=625.35)
V(X=82.41, Y=392.84, Z=586.10)
V(X=-1764.43, Y=-524.75, Z=625.01)
V(X=-750.33, Y=21.05, Z=630.25)
V(X=-1032.50, Y=849.71, Z=598.50)
V(X=841.12, Y=226.48, Z=618.38)
V(X=1514.62, Y=1528.11, Z=629.42)
V(X=1232.01, Y=-1421.62, Z=610.90)
V(X=-96.23, Y=-1558.04, Z=626.00)
V(X=863.12, Y=94.17, Z=586.13)
V(X=-267.40, Y=-312.16, Z=577.61)
V(X=-978.30, Y=535.64, Z=587.07)
V(X=-623.28, Y=1316.89, Z=601.68)
V(X=-427.62, Y=604.83, Z=621.10)
V(X=139.11, Y=448.98, Z=592.91)
V(X=-258.19, Y=-842.94, Z=630.29)
V(X=664.75, Y=35.87, Z=576.64)
V(X=1056.40, Y=-539.47, Z=599.79)
V(X=-586.53, Y=-1101.85, Z=608.48)
V(X=-1157.81, Y=652.04, Z=621.08)
V(X=-65.45, Y=514.54, Z=590.29)
V(X=1556.35, Y=-613.47, Z=610.93)
V(X=-542.74, Y=78.67, Z=606.93)
V(X=-868.16, Y=72.78, Z=630.12)
V(X=956.02, Y=-1457.05, Z=602.05)
V(X=-1391.74, Y=-1194.01, Z=619.91)
V(X=800.57, Y=1013.91, Z=587.60)
V(X=1677.33, Y=7.02, Z=631.60)
V(X=934.67, Y=544.08, Z=585.65)
V(X=857.81, Y=536.33, Z=568.49)
V(X=-1628.06, Y=-1181.94, Z=595.36)
V(X=1759.60, Y=-1199.41, Z=610.70)
V(X=1521.55, Y=-787.98, Z=624.02)
V(X=1583.99, Y=1421.03, Z=579.56)
V(X=-938.19, Y=-1338.19, Z=601.15)
V(X=-10.16, Y=-1139.15, Z=623.16)
V(X=1375.54, Y=815.75, Z=618.91)
V(X=1514.94, Y=1390.70, Z=585.03)
V(X=578.57, Y=187.31, Z=568.08)
V(X=1387.35, Y=368.20, Z=588.96)
V(X=-527.78, Y=-54.13, Z=605.02)
V(X=1346.70, Y=1298.25, Z=582.86)
V(X=755.70, Y=461.24, Z=621.19)
V(X=-1685.29, Y=-1211.19, Z=594.21)
V(X=1055.86, Y=-1511.62, Z=578.84)
V(X=-179.92, Y=-922.24, Z=585.19)
V(X=1675.16, Y=-1507.60, Z=630.79)
V(X=-1125.18, Y=-245.32, Z=587.10)
V(X=-1404.75, Y=-17.42, Z=576.04)
V(X=-538.08, Y=-1402.48, Z=631.66)
V(X=-381.66, Y=810.94, Z=599.47)
V(X=757.21, Y=-1050.13, Z=625.94)
V(X=1337.38, Y=-1040.81, Z=611.56)
V(X=-985.45, Y=-1053.17, Z=569.74)
V(X=-195.64, Y=269.66, Z=586.71)
V(X=556.34, Y=-1538.81, Z=629.42)
V(X=570.65, Y=-669.61, Z=576.27)
V(X=-475.21, Y=1040.41, Z=616.32)
V(X=748.65, Y=1534.98, Z=601.13)
V(X=-1064.91, Y=797.50, Z=594.93)
V(X=1023.99, Y=1027.26, Z=600.28)
V(X=-438.57, Y=-720.55, Z=610.31)
V(X=1411.96, Y=1107.15, Z=602.35)
V(X=-699.60, Y=579.12, Z=619.03)
V(X=-1591.09, Y=-1396.39, Z=568.88)
V(X=-568.43, Y=1585.92, Z=570.46)
V(X=835.70, Y=-1447.33, Z=594.49)
V(X=-561.93, Y=-1279.30, Z=598.01)
V(X=1564.81, Y=-1461.07, Z=581.07)
V(X=519.16, Y=523.08, Z=596.20)
V(X=808.70, Y=1461.47, Z=569.27)
V(X=-1360.96, Y=1218.94, Z=606.62)
V(X=523.93, Y=-737.92, Z=588.77)
V(X=-1696.57, Y=-74.44, Z=613.72)
V(X=-976.78, Y=1113.53, Z=600.78)
V(X=-1550.12, Y=-1576.89, Z=616.91)
V(X=269.73, Y=-1483.45, Z=622.60)
V(X=1359.49, Y=454.37, Z=629.07)
V(X=1024.42, Y=363.78, Z=593.82)
V(X=-1731.47, Y=-536.72, Z=619.18)
V(X=194.07, Y=1035.41, Z=610.32)
V(X=302.47, Y=259.65, Z=582.48)
V(X=-662.20, Y=-25.47, Z=627.90)
